P28 Amaz,$12.50,3,37.5,0,37.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P28	 Amazing Seafood Green Beans ***,$12.50,4,52.5,0,52.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P29 Ma Kur Yaow,$9.75,1,9.75,0,9.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P29	 Pad Ma Kur Yaow (Eggplant),$9.75,3,31.25,0,31.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P3 Garee Curry,$9.50,66,641,0,641,2021-01-01 00:00:00,2021-01-31 00:00:00
P3 Garee Curry **,$9.25,44,439.5,0,439.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P31 Amaz Grn Bean,$10.50,16,168,0,168,2021-01-01 00:00:00,2021-01-31 00:00:00
P31	 Spicy Amazing Green Beans  ***,$10.50,5,58.5,0,58.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P32 Pad Nor Mai,$10.50,3,31.5,0,31.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P32	 Spicy Pad Ped Nor Mai ****,$10.50,2,21,0,21,2021-01-01 00:00:00,2021-01-31 00:00:00
P34 Bean Sprout,$8.95,1,8.95,0,8.95,2021-01-01 00:00:00,2021-01-31 00:00:00
P34	 Stir-fried Bean Sprout,$8.95,2,17.9,0,17.9,2021-01-01 00:00:00,2021-01-31 00:00:00
P35 Kai Jeaw,$9.50,1,9.5,0,9.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P38 Kaeng Daeng Vegetables **,$9.95,9,106.15,0,106.15,2021-01-01 00:00:00,2021-01-31 00:00:00
P38 Kaeng Veg,$10.50,8,92,0,92,2021-01-01 00:00:00,2021-01-31 00:00:00
P4 Keow Wan Curry **,$9.25,35,345.75,0,345.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P4 KeowWan Curry,$9.50,58,566,0,566,2021-01-01 00:00:00,2021-01-31 00:00:00
P41 S Panang Beef,$14.95,24,358.8,0,358.8,2021-01-01 00:00:00,2021-01-31 00:00:00
P41 Special Panang Beef Curry **,$14.95,13,199.35,0,199.35,2021-01-01 00:00:00,2021-01-31 00:00:00
P42 S Garee Beef,$15.50,16,248,0,248,2021-01-01 00:00:00,2021-01-31 00:00:00
P42 Special Garee Beef Curry **,$15.50,8,124,0,124,2021-01-01 00:00:00,2021-01-31 00:00:00
P45 S Gang Prik,$10.95,8,90.1,0,90.1,2021-01-01 00:00:00,2021-01-31 00:00:00
P45 special Gang Prik ****,$10.95,3,32.85,0,32.85,2021-01-01 00:00:00,2021-01-31 00:00:00
P47 Pad Prik Gang,$10.50,14,147,0,147,2021-01-01 00:00:00,2021-01-31 00:00:00
P47 Pad Prik Gang ****,$9.95,18,190.6,0,190.6,2021-01-01 00:00:00,2021-01-31 00:00:00
P5 Gang Kua Supparod Curry*,$9.95,15,166.75,0,166.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P5 Gang Supparod,$9.95,16,162.3,0,162.3,2021-01-01 00:00:00,2021-01-31 00:00:00
P6 Fried Rice,$8.75,139,1245.25,0,1245.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P6	 House Fried Rice,$8.75,90,838.5,0,838.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P6	 House Fried Rice (Veg),$9.95,3,30.65,0,30.65,2021-01-01 00:00:00,2021-01-31 00:00:00
P61 Crab FriRice,$14.25,19,270.75,0,270.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P61 Mam's Crab Fried Rice,$14.25,17,242.25,0,242.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P62 St FriRice,$9.75,33,335.25,0,335.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P62 Street Fried Rice,$9.50,82,793,0,793,2021-01-01 00:00:00,2021-01-31 00:00:00
P62	 Street Fried Rice,$9.50,107,1097.25,0,1097.25,2021-01-01 00:00:00,2021-01-31 00:00:00
P63 Thai egg Explosion,$10.75,5,53.75,0,53.75,2021-01-01 00:00:00,2021-01-31 00:00:00
P63 Thai Egg Explosion **,$10.75,2,21.5,0,21.5,2021-01-01 00:00:00,2021-01-31 00:00:00
P64 Salmon Fried Rice,$15.95,4,63.8,0,63.8,2021-01-01 00:00:00,2021-01-31 00:00:00
